,id,sentence,subject_entity,object_entity,label,source
45,45,영국의 제임스 클라크 로스(1800년 ~ 1862년) 경은 1839년 10월 ‘에레부스’호와 ‘테러’호로 영국을 떠나 자남극을 찾아갔다.,"{'word': '제임스 클라크 로스', 'start_idx': 4, 'end_idx': 13, 'type': 'PER'}","{'word': '1800년 ~ 1862년', 'start_idx': 15, 'end_idx': 27, 'type': 'DAT'}",per:date_of_birth,wikipedia
72,72,"냉전 동안 독일 연방군은 NATO의 서유럽 방위의 주력군이 되었으며 전군을 통틀어 49만 5,000명의 병력과 17만명의 군무원을 거느리고 있었다.","{'word': '독일 연방군', 'start_idx': 6, 'end_idx': 11, 'type': 'ORG'}","{'word': '49만 5,000명', 'start_idx': 46, 'end_idx': 55, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
107,107,"고양시청 종합상황실에서는 연휴기간동안 09:00 ~ 18:00까지 민원콜센터(031-909-9000)와 교통·버스 종합상황실(버스:031-8075-2017/교통:1577-0961)을 운영하고, 재난상황실(031-8075-2119)은 24시간 가동한다.","{'word': '고양시', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '031-909-9000', 'start_idx': 43, 'end_idx': 54, 'type': 'NOH'}",no_relation,wikitree
136,136,KT 이사회가 전원합의로 구현모 KT 커스터머&미디어부문장(사장)을 차기 회장 후보로 확정했다.,"{'word': '구현모', 'start_idx': 14, 'end_idx': 16, 'type': 'PER'}","{'word': 'KT 커스터머&미디어부문장', 'start_idx': 18, 'end_idx': 31, 'type': 'ORG'}",per:title,wikitree
191,191,쇼니 씨(少弐氏)의 8대 당주로 쇼니 요리히사(少弐頼尚)의 둘째 아들이다.,"{'word': '쇼니 씨', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '少弐氏', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}",per:alternate_names,wikipedia
261,261,"러시아군의 규모는 25,000-30,000명 혹은 34,500명 정도로 어림 잡았고, 160문의 대포를 갖고 왔었다.","{'word': '러시아군', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '25,000', 'start_idx': 10, 'end_idx': 15, 'type': 'NOH'}",no_relation,wikipedia
328,328,"2012년 9월 18일, AFC 아약스와의 UEFA 챔피언스리그 2012-13 D조 1차전 홈 경기에서 로이스는 처음으로 챔피언스리그에 출전하였고, 같은 해 10월 3일 맨체스터 시티 FC와의 D조 2차전 원정 경기에서 첫 골을 기록하였지만 경기는 1-1 무승부로 종료되었다.","{'word': 'AFC 아약스', 'start_idx': 14, 'end_idx': 20, 'type': 'ORG'}","{'word': '2012-13', 'start_idx': 36, 'end_idx': 42, 'type': 'DAT'}",no_relation,wikipedia
342,342,"소련군의 포위 결과 독일군 33,000명과 헝가리군 37,000명, 시민 800,000명이 부다페스트 도시 내로 고립되었다.","{'word': '소련군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '37,000명', 'start_idx': 29, 'end_idx': 35, 'type': 'NOH'}",no_relation,wikipedia
374,374,"이어서 1991년 발표한 《사랑을 잃은 풀꽃》이 히트하여 《NHK 홍백가합전》에 첫 출연하였으며, 1993년에 다마키 고지(玉置浩二)가 작곡한 《무언 고개(無言坂)》로 《제35회 일본 레코드 대상》의 대상을 차지하는 쾌거를 이루었다.","{'word': '다마키 고지', 'start_idx': 62, 'end_idx': 67, 'type': 'PER'}","{'word': '玉置浩二', 'start_idx': 69, 'end_idx': 72, 'type': 'PER'}",per:alternate_names,wikipedia
418,418,KBS 전주방송총국(KBS 全州放送總局)은 전라북도 지역을 대상으로 하는 한국방송공사의 지역 방송 총국이다.,"{'word': 'KBS 전주방송총국', 'start_idx': 0, 'end_idx': 9, 'type': 'ORG'}","{'word': 'KBS 全州放送總局', 'start_idx': 11, 'end_idx': 20, 'type': 'ORG'}",org:alternate_names,wikipedia
